"","ID","GB_ACC","Species Scientific Name","Gene Symbol","ENTREZ_GENE_ID","Gene Title"
"1600","202072_at","NM_001533","Homo sapiens","HNRNPL","3191","heterogeneous nuclear ribonucleoprotein L"
"1601","202073_at","AV757675","Homo sapiens","OPTN","10133","optineurin"
"1602","202074_s_at","NM_021980","Homo sapiens","OPTN","10133","optineurin"
"1603","202075_s_at","NM_006227","Homo sapiens","PLTP","5360","phospholipid transfer protein"
"1604","202076_at","NM_001166","Homo sapiens","BIRC2","329","baculoviral IAP repeat-containing 2"
"1605","202077_at","NM_005003","Homo sapiens","NDUFAB1","4706","NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa"
"1606","202078_at","NM_003653","Homo sapiens","COPS3","8533","COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)"
"1607","202079_s_at","AI633774","Homo sapiens","TRAK1","22906","trafficking protein, kinesin binding 1"
"1608","202080_s_at","NM_014965","Homo sapiens","TRAK1","22906","trafficking protein, kinesin binding 1"
"1609","202081_at","NM_004907","Homo sapiens","IER2","9592","immediate early response 2"
"1610","202082_s_at","AV748469","Homo sapiens","SEC14L1","6397","SEC14-like 1 (S. cerevisiae)"
"1611","202083_s_at","AI017770","Homo sapiens","SEC14L1","6397","SEC14-like 1 (S. cerevisiae)"
"1612","202084_s_at","NM_003003","Homo sapiens","SEC14L1","6397","SEC14-like 1 (S. cerevisiae)"
"1613","202085_at","NM_004817","Homo sapiens","TJP2","9414","tight junction protein 2 (zona occludens 2)"
"1614","202086_at","NM_002462","Homo sapiens","MX1","4599","myxovirus (influenza virus) resistance 1, interferon-inducible protein p78 (mouse)"
"1615","202087_s_at","NM_001912","Homo sapiens","CTSL1","1514","cathepsin L1"
"1616","202088_at","AI635449","Homo sapiens","SLC39A6","25800","solute carrier family 39 (zinc transporter), member 6"
"1617","202089_s_at","NM_012319","Homo sapiens","SLC39A6","25800","solute carrier family 39 (zinc transporter), member 6"
"1618","202090_s_at","NM_006830","Homo sapiens","UQCR11","10975","ubiquinol-cytochrome c reductase, complex III subunit XI"
"1619","202091_at","BC003087","Homo sapiens","ARL2BP","23568","ADP-ribosylation factor-like 2 binding protein"
"1620","202092_s_at","BF244411","Homo sapiens","ARL2BP","23568","ADP-ribosylation factor-like 2 binding protein"
"1621","202093_s_at","NM_019088","Homo sapiens","PAF1","54623","Paf1, RNA polymerase II associated factor, homolog (S. cerevisiae)"
"1622","202094_at","AA648913","Homo sapiens","BIRC5","332","baculoviral IAP repeat-containing 5"
"1623","202095_s_at","NM_001168","Homo sapiens","BIRC5","332","baculoviral IAP repeat-containing 5"
"1624","202096_s_at","NM_000714","Homo sapiens","TSPO","706","translocator protein (18kDa)"
"1625","202097_at","NM_005124","Homo sapiens","NUP153","9972","nucleoporin 153kDa"
"1626","202098_s_at","NM_001535","Homo sapiens","PRMT2","3275","protein arginine methyltransferase 2"
"1627","202099_s_at","H42875","Homo sapiens","DGCR2","9993","DiGeorge syndrome critical region gene 2"
"1628","202100_at","BG169673","Homo sapiens","RALB","5899","v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)"
"1629","202101_s_at","NM_002881","Homo sapiens","RALB","5899","v-ral simian leukemia viral oncogene homolog B (ras related; GTP binding protein)"
"1630","202102_s_at","BF718610","Homo sapiens","BRD4","23476","bromodomain containing 4"
"1631","202103_at","AI991631","Homo sapiens","BRD4","23476","bromodomain containing 4"
"1632","202104_s_at","NM_003119","Homo sapiens","SPG7","6687","spastic paraplegia 7 (pure and complicated autosomal recessive)"
"1633","202105_at","NM_001551","Homo sapiens","IGBP1","3476","immunoglobulin (CD79A) binding protein 1"
"1634","202106_at","NM_005895","Homo sapiens","GOLGA3","2802","golgin A3"
"1635","202107_s_at","NM_004526","Homo sapiens","MCM2","4171","minichromosome maintenance complex component 2"
"1636","202108_at","NM_000285","Homo sapiens","PEPD","5184","peptidase D"
"1637","202109_at","NM_012402","Homo sapiens","ARFIP2","23647","ADP-ribosylation factor interacting protein 2"
"1638","202110_at","NM_001866","Homo sapiens","COX7B","1349","cytochrome c oxidase subunit VIIb"
"1639","202111_at","NM_003040","Homo sapiens","SLC4A2","6522","solute carrier family 4, anion exchanger, member 2 (erythrocyte membrane protein band 3-like 1)"
"1640","202112_at","NM_000552","Homo sapiens","VWF","7450","von Willebrand factor"
"1641","202113_s_at","AF043453","Homo sapiens","SNX2","6643","sorting nexin 2"
"1642","202114_at","NM_003100","Homo sapiens","SNX2","6643","sorting nexin 2"
"1643","202115_s_at","NM_015658","Homo sapiens","NOC2L","26155","nucleolar complex associated 2 homolog (S. cerevisiae)"
"1644","202116_at","NM_006268","Homo sapiens","DPF2","5977","D4, zinc and double PHD fingers family 2"
"1645","202117_at","BG468434","Homo sapiens","ARHGAP1","392","Rho GTPase activating protein 1"
"1646","202118_s_at","AA541758","Homo sapiens","CPNE3","8895","copine III"
"1647","202119_s_at","NM_003909","Homo sapiens","CPNE3","8895","copine III"
"1648","202120_x_at","NM_004069","Homo sapiens","AP2S1","1175","adaptor-related protein complex 2, sigma 1 subunit"
"1649","202121_s_at","NM_014453","Homo sapiens","CHMP2A","27243","chromatin modifying protein 2A"
"1650","202122_s_at","NM_005817","Homo sapiens","PLIN3","10226","perilipin 3"
"1651","202123_s_at","NM_005157","Homo sapiens","ABL1","25","c-abl oncogene 1, non-receptor tyrosine kinase"
"1652","202124_s_at","AV705253","Homo sapiens","TRAK2","66008","trafficking protein, kinesin binding 2"
"1653","202125_s_at","NM_015049","Homo sapiens","TRAK2","66008","trafficking protein, kinesin binding 2"
"1654","202126_at","AA156948","Homo sapiens","PRPF4B","8899","PRP4 pre-mRNA processing factor 4 homolog B (yeast)"
"1655","202127_at","AB011108","Homo sapiens","PRPF4B","8899","PRP4 pre-mRNA processing factor 4 homolog B (yeast)"
"1656","202128_at","NM_014821","Homo sapiens","KIAA0317","9870","KIAA0317"
"1657","202129_s_at","AW006290","Homo sapiens","RIOK3","8780","RIO kinase 3 (yeast)"
"1658","202130_at","AA725102","Homo sapiens","RIOK3","8780","RIO kinase 3 (yeast)"
"1659","202131_s_at","NM_003831","Homo sapiens","RIOK3","8780","RIO kinase 3 (yeast)"
"1660","202132_at","AA081084","Homo sapiens","WWTR1","25937","WW domain containing transcription regulator 1"
"1661","202133_at","BF674349","Homo sapiens","WWTR1","25937","WW domain containing transcription regulator 1"
"1662","202134_s_at","NM_015472","Homo sapiens","WWTR1","25937","WW domain containing transcription regulator 1"
"1663","202135_s_at","NM_005735","Homo sapiens","ACTR1B","10120","ARP1 actin-related protein 1 homolog B, centractin beta (yeast)"
"1664","202136_at","BE250417","Homo sapiens","ZMYND11","10771","zinc finger, MYND domain containing 11"
"1665","202137_s_at","NM_006624","Homo sapiens","ZMYND11","10771","zinc finger, MYND domain containing 11"
"1666","202138_x_at","NM_006303","Homo sapiens","AIMP2","7965","aminoacyl tRNA synthetase complex-interacting multifunctional protein 2"
"1667","202139_at","NM_003689","Homo sapiens","AKR7A2","8574","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)"
"1668","202140_s_at","NM_003992","Homo sapiens","CLK3","1198","CDC-like kinase 3"
"1669","202141_s_at","BC003090","Homo sapiens","COPS8","10920","COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)"
"1670","202142_at","BC003090","Homo sapiens","COPS8","10920","COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)"
"1671","202143_s_at","NM_006710","Homo sapiens","COPS8","10920","COP9 constitutive photomorphogenic homolog subunit 8 (Arabidopsis)"
"1672","202144_s_at","NM_000026","Homo sapiens","ADSL","158","adenylosuccinate lyase"
"1673","202145_at","NM_002346","Homo sapiens","LY6E","4061","lymphocyte antigen 6 complex, locus E"
"1674","202146_at","AA747426","Homo sapiens","IFRD1","3475","interferon-related developmental regulator 1"
"1675","202147_s_at","NM_001550","Homo sapiens","IFRD1","3475","interferon-related developmental regulator 1"
"1676","202148_s_at","NM_006907","Homo sapiens","PYCR1","5831","pyrroline-5-carboxylate reductase 1"
"1677","202149_at","AL136139","Homo sapiens","NEDD9","4739","neural precursor cell expressed, developmentally down-regulated 9"
"1678","202150_s_at","U64317","Homo sapiens","NEDD9","4739","neural precursor cell expressed, developmentally down-regulated 9"
"1679","202151_s_at","NM_016172","Homo sapiens","UBAC1","10422","UBA domain containing 1"
"1680","202152_x_at","NM_003367","Homo sapiens","USF2","7392","upstream transcription factor 2, c-fos interacting"
"1681","202153_s_at","NM_016553","Homo sapiens","NUP62","23636","nucleoporin 62kDa"
"1682","202154_x_at","NM_006086","Homo sapiens","TUBB3","10381","tubulin, beta 3"
"1683","202155_s_at","NM_005085","Homo sapiens","NUP214","8021","nucleoporin 214kDa"
"1684","202156_s_at","N36839","Homo sapiens","CELF2","10659","CUGBP, Elav-like family member 2"
"1685","202157_s_at","U69546","Homo sapiens","CELF2","10659","CUGBP, Elav-like family member 2"
"1686","202158_s_at","NM_006561","Homo sapiens","CELF2","10659","CUGBP, Elav-like family member 2"
"1687","202159_at","NM_004461","Homo sapiens","FARSA","2193","phenylalanyl-tRNA synthetase, alpha subunit"
"1688","202160_at","NM_004380","Homo sapiens","CREBBP","1387","CREB binding protein"
"1689","202161_at","NM_002741","Homo sapiens","PKN1","5585","protein kinase N1"
"1690","202162_s_at","AI769416","Homo sapiens","CNOT8","9337","CCR4-NOT transcription complex, subunit 8"
"1691","202163_s_at","NM_004779","Homo sapiens","CNOT8","9337","CCR4-NOT transcription complex, subunit 8"
"1692","202164_s_at","AF180476","Homo sapiens","CNOT8","9337","CCR4-NOT transcription complex, subunit 8"
"1693","202165_at","BF966540","Homo sapiens","PPP1R2","5504","protein phosphatase 1, regulatory (inhibitor) subunit 2"
"1694","202166_s_at","NM_006241","Homo sapiens","PPP1R2","5504","protein phosphatase 1, regulatory (inhibitor) subunit 2"
"1695","202167_s_at","NM_022362","Homo sapiens","MMS19","64210","MMS19 nucleotide excision repair homolog (S. cerevisiae)"
"1696","202168_at","NM_003187","Homo sapiens","TAF9","6880","TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa"
"1697","202169_s_at","AF302110","Homo sapiens","AASDHPPT","60496","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"1698","202170_s_at","AF151057","Homo sapiens","AASDHPPT","60496","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"1699","202171_at","AU146275","Homo sapiens","VEZF1","7716","vascular endothelial zinc finger 1"
"1700","202172_at","BG035116","Homo sapiens","VEZF1","7716","vascular endothelial zinc finger 1"
"1701","202173_s_at","NM_007146","Homo sapiens","VEZF1","7716","vascular endothelial zinc finger 1"
"1702","202174_s_at","NM_006197","Homo sapiens","PCM1","5108","pericentriolar material 1"
"1703","202175_at","NM_024536","Homo sapiens","CHPF","79586","chondroitin polymerizing factor"
"1704","202176_at","NM_000122","Homo sapiens","ERCC3","2071","excision repair cross-complementing rodent repair deficiency, complementation group 3 (xeroderma pigmentosum group B complementing)"
"1705","202177_at","NM_000820","Homo sapiens","GAS6","2621","growth arrest-specific 6"
"1706","202178_at","NM_002744","Homo sapiens","PRKCZ","5590","protein kinase C, zeta"
"1707","202179_at","NM_000386","Homo sapiens","BLMH","642","bleomycin hydrolase"
"1708","202180_s_at","NM_017458","Homo sapiens","MVP","9961","major vault protein"
"1709","202181_at","NM_014734","Homo sapiens","KIAA0247","9766","KIAA0247"
"1710","202182_at","NM_021078","Homo sapiens","KAT2A","2648","K(lysine) acetyltransferase 2A"
"1711","202183_s_at","NM_007317","Homo sapiens","KIF22","3835","kinesin family member 22"
"1712","202184_s_at","NM_018230","Homo sapiens","NUP133","55746","nucleoporin 133kDa"
"1713","202185_at","NM_001084","Homo sapiens","PLOD3","8985","procollagen-lysine, 2-oxoglutarate 5-dioxygenase 3"
"1714","202186_x_at","AI803525","Homo sapiens","PPP2R5A","5525","protein phosphatase 2, regulatory subunit B', alpha"
"1715","202187_s_at","NM_006243","Homo sapiens","PPP2R5A","5525","protein phosphatase 2, regulatory subunit B', alpha"
"1716","202188_at","NM_014669","Homo sapiens","NUP93","9688","nucleoporin 93kDa"
"1717","202189_x_at","NM_002819","Homo sapiens","PTBP1","5725","polypyrimidine tract binding protein 1"
"1718","202190_at","NM_001324","Homo sapiens","CSTF1","1477","cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kDa"
"1719","202191_s_at","BE439987","Homo sapiens","GAS7","8522","growth arrest-specific 7"
"1720","202192_s_at","NM_005890","Homo sapiens","GAS7","8522","growth arrest-specific 7"
"1721","202193_at","NM_005569","Homo sapiens","LIMK2","3985","LIM domain kinase 2"
"1722","202194_at","AL117354","Homo sapiens","TMED5","50999","transmembrane emp24 protein transport domain containing 5"
"1723","202195_s_at","NM_016040","Homo sapiens","TMED5","50999","transmembrane emp24 protein transport domain containing 5"
"1724","202196_s_at","NM_013253","Homo sapiens","DKK3","27122","dickkopf homolog 3 (Xenopus laevis)"
"1725","202197_at","NM_021090","Homo sapiens","MTMR3","8897","myotubularin related protein 3"
"1726","202198_s_at","AF233438","Homo sapiens","MTMR3","8897","myotubularin related protein 3"
"1727","202199_s_at","AW082913","Homo sapiens","SRPK1","6732","SRSF protein kinase 1"
"1728","202200_s_at","NM_003137","Homo sapiens","SRPK1","6732","SRSF protein kinase 1"
"1729","202201_at","NM_000713","Homo sapiens","BLVRB","645","biliverdin reductase B (flavin reductase (NADPH))"
"1730","202202_s_at","NM_002290","Homo sapiens","LAMA4","3910","laminin, alpha 4"
"1731","202203_s_at","NM_001144","Homo sapiens","AMFR","267","autocrine motility factor receptor"
"1732","202204_s_at","AF124145","Homo sapiens","AMFR","267","autocrine motility factor receptor"
"1733","202205_at","NM_003370","Homo sapiens","VASP","7408","vasodilator-stimulated phosphoprotein"
"1734","202206_at","AW450363","Homo sapiens","ARL4C","10123","ADP-ribosylation factor-like 4C"
"1735","202207_at","BG435404","Homo sapiens","ARL4C","10123","ADP-ribosylation factor-like 4C"
"1736","202208_s_at","BC001051","Homo sapiens","ARL4C","10123","ADP-ribosylation factor-like 4C"
"1737","202209_at","NM_014463","Homo sapiens","LSM3","27258","LSM3 homolog, U6 small nuclear RNA associated (S. cerevisiae)"
"1738","202210_x_at","NM_019884","Homo sapiens","GSK3A","2931","glycogen synthase kinase 3 alpha"
"1739","202211_at","BC005122","Homo sapiens","ARFGAP3","26286","ADP-ribosylation factor GTPase activating protein 3"
"1740","202212_at","NM_014303","Homo sapiens","PES1","23481","pescadillo homolog 1, containing BRCT domain (zebrafish)"
"1741","202213_s_at","AI650819","Homo sapiens","CUL4B","8450","cullin 4B"
"1742","202214_s_at","NM_003588","Homo sapiens","CUL4B","8450","cullin 4B"
"1743","202215_s_at","NM_014223","Homo sapiens","NFYC","4802","nuclear transcription factor Y, gamma"
"1744","202216_x_at","BC005003","Homo sapiens","NFYC","4802","nuclear transcription factor Y, gamma"
"1745","202217_at","NM_004649","Homo sapiens","C21orf33","8209","chromosome 21 open reading frame 33"
"1746","202218_s_at","NM_004265","Homo sapiens","FADS2","9415","fatty acid desaturase 2"
"1747","202219_at","NM_005629","Homo sapiens","SLC6A8","6535","solute carrier family 6 (neurotransmitter transporter, creatine), member 8"
"1748","202220_at","NM_014949","Homo sapiens","KIAA0907","22889","KIAA0907"
"1749","202221_s_at","AV727101","Homo sapiens","EP300","2033","E1A binding protein p300"
"1750","202222_s_at","NM_001927","Homo sapiens","DES","1674","desmin"
"1751","202223_at","NM_002219","Homo sapiens","STT3A","3703","STT3, subunit of the oligosaccharyltransferase complex, homolog A (S. cerevisiae)"
"1752","202224_at","BF304695","Homo sapiens","CRK","1398","v-crk sarcoma virus CT10 oncogene homolog (avian)"
"1753","202225_at","AW612311","Homo sapiens","CRK","1398","v-crk sarcoma virus CT10 oncogene homolog (avian)"
"1754","202226_s_at","NM_016823","Homo sapiens","CRK","1398","v-crk sarcoma virus CT10 oncogene homolog (avian)"
"1755","202227_s_at","NM_006696","Homo sapiens","BRD8","10902","bromodomain containing 8"
"1756","202228_s_at","NM_017455","Homo sapiens","NPTN","27020","neuroplastin"
"1757","202229_s_at","AI372979","Homo sapiens","CHERP","10523","calcium homeostasis endoplasmic reticulum protein"
"1758","202230_s_at","NM_006387","Homo sapiens","CHERP","10523","calcium homeostasis endoplasmic reticulum protein"
"1759","202231_at","NM_006360","Homo sapiens","EIF3M","10480","eukaryotic translation initiation factor 3, subunit M"
"1760","202232_s_at","NM_006360","Homo sapiens","EIF3M","10480","eukaryotic translation initiation factor 3, subunit M"
"1761","202233_s_at","NM_006004","Homo sapiens","UQCRH","7388","ubiquinol-cytochrome c reductase hinge protein"
"1762","202234_s_at","BF511091","Homo sapiens","SLC16A1","6566","solute carrier family 16, member 1 (monocarboxylic acid transporter 1)"
"1763","202235_at","BF511091","Homo sapiens","SLC16A1","6566","solute carrier family 16, member 1 (monocarboxylic acid transporter 1)"
"1764","202236_s_at","NM_003051","Homo sapiens","SLC16A1","6566","solute carrier family 16, member 1 (monocarboxylic acid transporter 1)"
"1765","202237_at","NM_006169","Homo sapiens","NNMT","4837","nicotinamide N-methyltransferase"
"1766","202238_s_at","NM_006169","Homo sapiens","NNMT","4837","nicotinamide N-methyltransferase"
"1767","202239_at","NM_006437","Homo sapiens","PARP4","143","poly (ADP-ribose) polymerase family, member 4"
"1768","202240_at","NM_005030","Homo sapiens","PLK1","5347","polo-like kinase 1"
"1769","202241_at","NM_025195","Homo sapiens","TRIB1","10221","tribbles homolog 1 (Drosophila)"
"1770","202242_at","NM_004615","Homo sapiens","TSPAN7","7102","tetraspanin 7"
"1771","202243_s_at","NM_002796","Homo sapiens","PSMB4","5692","proteasome (prosome, macropain) subunit, beta type, 4"
"1772","202244_at","NM_002796","Homo sapiens","PSMB4","5692","proteasome (prosome, macropain) subunit, beta type, 4"
"1773","202245_at","AW084510","Homo sapiens","LSS","4047","lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)"
"1774","202246_s_at","NM_000075","Homo sapiens","CDK4","1019","cyclin-dependent kinase 4"
"1775","202247_s_at","BE561596","Homo sapiens","MTA1","9112","metastasis associated 1"
"1776","202248_at","BC000110","Homo sapiens","E2F4","1874","E2F transcription factor 4, p107/p130-binding"
"1777","202249_s_at","AU146233","Homo sapiens","DCAF8","50717","DDB1 and CUL4 associated factor 8"
"1778","202250_s_at","NM_015726","Homo sapiens","DCAF8","50717","DDB1 and CUL4 associated factor 8"
"1779","202251_at","NM_004698","Homo sapiens","PRPF3","9129","PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae)"
"1780","202252_at","NM_002870","Homo sapiens","RAB13","5872","RAB13, member RAS oncogene family"
"1781","202253_s_at","NM_004945","Homo sapiens","DNM2","1785","dynamin 2"
"1782","202254_at","AB007900","Homo sapiens","SIPA1L1","26037","Signal-induced proliferation-associated 1 like 1"
"1783","202255_s_at","NM_015556","Homo sapiens","SIPA1L1","26037","signal-induced proliferation-associated 1 like 1"
"1784","202256_at","BF793888","Homo sapiens","CD2BP2","10421","CD2 (cytoplasmic tail) binding protein 2"
"1785","202257_s_at","NM_006110","Homo sapiens","CD2BP2","10421","CD2 (cytoplasmic tail) binding protein 2"
"1786","202258_s_at","U50532","Homo sapiens","N4BP2L2","10443","NEDD4 binding protein 2-like 2"
"1787","202259_s_at","NM_014887","Homo sapiens","N4BP2L2","10443","NEDD4 binding protein 2-like 2"
"1788","202260_s_at","NM_003165","Homo sapiens","STXBP1","6812","syntaxin binding protein 1"
"1789","202261_at","NM_005997","Homo sapiens","VPS72","6944","vacuolar protein sorting 72 homolog (S. cerevisiae)"
"1790","202262_x_at","NM_013974","Homo sapiens","DDAH2","23564","dimethylarginine dimethylaminohydrolase 2"
"1791","202263_at","NM_016243","Homo sapiens","CYB5R1","51706","cytochrome b5 reductase 1"
"1792","202264_s_at","NM_006114","Homo sapiens","TOMM40","10452","translocase of outer mitochondrial membrane 40 homolog (yeast)"
"1793","202265_at","NM_005180","Homo sapiens","BMI1","648","BMI1 polycomb ring finger oncogene"
"1794","202266_at","NM_016614","Homo sapiens","TDP2","51567","tyrosyl-DNA phosphodiesterase 2"
"1795","202267_at","NM_005562","Homo sapiens","LAMC2","3918","laminin, gamma 2"
"1796","202268_s_at","NM_003905","Homo sapiens","NAE1","8883","NEDD8 activating enzyme E1 subunit 1"
"1797","202269_x_at","BC002666","Homo sapiens","GBP1","2633","guanylate binding protein 1, interferon-inducible, 67kDa"
"1798","202270_at","NM_002053","Homo sapiens","GBP1","2633","guanylate binding protein 1, interferon-inducible, 67kDa"
"1799","202271_at","AB007952","Homo sapiens","FBXO28","23219","F-box protein 28"
"1800","202272_s_at","NM_015176","Homo sapiens","FBXO28","23219","F-box protein 28"
"1801","202273_at","NM_002609","Homo sapiens","PDGFRB","5159","platelet-derived growth factor receptor, beta polypeptide"
"1802","202274_at","NM_001615","Homo sapiens","ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"1803","202275_at","NM_000402","Homo sapiens","G6PD","2539","glucose-6-phosphate dehydrogenase"
"1804","202276_at","NM_006304","Homo sapiens","SHFM1","7979","split hand/foot malformation (ectrodactyly) type 1"
"1805","202277_at","AL568804","Homo sapiens","SPTLC1","10558","serine palmitoyltransferase, long chain base subunit 1"
"1806","202278_s_at","NM_006415","Homo sapiens","SPTLC1","10558","serine palmitoyltransferase, long chain base subunit 1"
"1807","202279_at","NM_004894","Homo sapiens","C14orf2","9556","chromosome 14 open reading frame 2"
"1808","202280_at","D88435","Homo sapiens","","",""
"1809","202281_at","NM_005255","Homo sapiens","GAK","2580","cyclin G associated kinase"
"1810","202282_at","NM_004493","Homo sapiens","HSD17B10","3028","hydroxysteroid (17-beta) dehydrogenase 10"
"1811","202283_at","NM_002615","Homo sapiens","SERPINF1","5176","serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1"
"1812","202284_s_at","NM_000389","Homo sapiens","CDKN1A","1026","cyclin-dependent kinase inhibitor 1A (p21, Cip1)"
"1813","202285_s_at","AI627697","Homo sapiens","TACSTD2","4070","tumor-associated calcium signal transducer 2"
"1814","202286_s_at","J04152","Homo sapiens","TACSTD2","4070","tumor-associated calcium signal transducer 2"
"1815","202287_s_at","NM_002353","Homo sapiens","TACSTD2","4070","tumor-associated calcium signal transducer 2"
"1816","202288_at","U88966","Homo sapiens","MTOR","2475","mechanistic target of rapamycin (serine/threonine kinase)"
"1817","202289_s_at","NM_006997","Homo sapiens","TACC2","10579","transforming, acidic coiled-coil containing protein 2"
"1818","202290_at","NM_014891","Homo sapiens","PDAP1","11333","PDGFA associated protein 1"
"1819","202291_s_at","NM_000900","Homo sapiens","MGP","4256","matrix Gla protein"
"1820","202292_x_at","NM_007260","Homo sapiens","LYPLA2","11313","lysophospholipase II"
"1821","202293_at","AW168948","Homo sapiens","STAG1","10274","stromal antigen 1"
"1822","202294_at","AI126490","Homo sapiens","STAG1","10274","stromal antigen 1"
"1823","202295_s_at","NM_004390","Homo sapiens","CTSH","1512","cathepsin H"
"1824","202296_s_at","NM_007033","Homo sapiens","RER1","11079","RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)"
"1825","202297_s_at","AF157324","Homo sapiens","RER1","11079","RER1 retention in endoplasmic reticulum 1 homolog (S. cerevisiae)"
"1826","202298_at","NM_004541","Homo sapiens","NDUFA1","4694","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1, 7.5kDa"
"1827","202299_s_at","NM_006402","Homo sapiens","HBXIP","10542","hepatitis B virus x interacting protein"
"1828","202300_at","NM_006402","Homo sapiens","HBXIP","10542","hepatitis B virus x interacting protein"
"1829","202301_s_at","BE396879","Homo sapiens","RSRC2","65117","arginine/serine-rich coiled-coil 2"
"1830","202302_s_at","NM_023012","Homo sapiens","RSRC2","65117","arginine/serine-rich coiled-coil 2"
"1831","202303_x_at","NM_003601","Homo sapiens","SMARCA5","8467","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5"
"1832","202304_at","NM_014923","Homo sapiens","FNDC3A","22862","fibronectin type III domain containing 3A"
"1833","202305_s_at","AI685892","Homo sapiens","FEZ2","9637","fasciculation and elongation protein zeta 2 (zygin II)"
"1834","202306_at","NM_002696","Homo sapiens","POLR2G","5436","polymerase (RNA) II (DNA directed) polypeptide G"
"1835","202307_s_at","NM_000593","Homo sapiens","TAP1","6890","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)"
"1836","202308_at","NM_004176","Homo sapiens","SREBF1","6720","sterol regulatory element binding transcription factor 1"
"1837","202309_at","NM_005956","Homo sapiens","MTHFD1","4522","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase"
"1838","202310_s_at","K01228","Homo sapiens","COL1A1","1277","collagen, type I, alpha 1"
"1839","202311_s_at","AI743621","Homo sapiens","COL1A1","1277","collagen, type I, alpha 1"
"1840","202312_s_at","NM_000088","Homo sapiens","COL1A1","1277","collagen, type I, alpha 1"
"1841","202313_at","NM_002717","Homo sapiens","PPP2R2A","5520","protein phosphatase 2, regulatory subunit B, alpha"
"1842","202314_at","NM_000786","Homo sapiens","CYP51A1","1595","cytochrome P450, family 51, subfamily A, polypeptide 1"
"1843","202315_s_at","NM_004327","Homo sapiens","BCR","613","breakpoint cluster region"
"1844","202316_x_at","AW241715","Homo sapiens","UBE4B","10277","ubiquitination factor E4B (UFD2 homolog, yeast)"
"1845","202317_s_at","NM_006048","Homo sapiens","UBE4B","10277","ubiquitination factor E4B (UFD2 homolog, yeast)"
"1846","202318_s_at","AF306508","Homo sapiens","SENP6","26054","SUMO1/sentrin specific peptidase 6"
"1847","202319_at","NM_015571","Homo sapiens","SENP6","26054","SUMO1/sentrin specific peptidase 6"
"1848","202320_at","NM_001520","Homo sapiens","GTF3C1","2975","general transcription factor IIIC, polypeptide 1, alpha 220kDa"
"1849","202321_at","AW299507","Homo sapiens","GGPS1","9453","geranylgeranyl diphosphate synthase 1"
"1850","202322_s_at","NM_004837","Homo sapiens","GGPS1","9453","geranylgeranyl diphosphate synthase 1"
"1851","202323_s_at","AI636775","Homo sapiens","ACBD3","64746","acyl-CoA binding domain containing 3"
"1852","202324_s_at","NM_022735","Homo sapiens","ACBD3","64746","acyl-CoA binding domain containing 3"
"1853","202325_s_at","NM_001685","Homo sapiens","ATP5J","522","ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6"
"1854","202326_at","NM_006709","Homo sapiens","EHMT2","10919","euchromatic histone-lysine N-methyltransferase 2"
"1855","202327_s_at","AA020938","Homo sapiens","PKD1","5310","polycystic kidney disease 1 (autosomal dominant)"
"1856","202328_s_at","NM_000296","Homo sapiens","PKD1","5310","polycystic kidney disease 1 (autosomal dominant)"
"1857","202329_at","NM_004383","Homo sapiens","CSK","1445","c-src tyrosine kinase"
"1858","202330_s_at","NM_003362","Homo sapiens","UNG","7374","uracil-DNA glycosylase"
"1859","202331_at","NM_000709","Homo sapiens","BCKDHA","593","branched chain keto acid dehydrogenase E1, alpha polypeptide"
"1860","202332_at","NM_001894","Homo sapiens","CSNK1E","1454","casein kinase 1, epsilon"
"1861","202333_s_at","AA877765","Homo sapiens","UBE2B","7320","ubiquitin-conjugating enzyme E2B (RAD6 homolog)"
"1862","202334_s_at","AI768723","Homo sapiens","UBE2B","7320","ubiquitin-conjugating enzyme E2B (RAD6 homolog)"
"1863","202335_s_at","NM_003337","Homo sapiens","UBE2B","7320","ubiquitin-conjugating enzyme E2B (RAD6 homolog)"
"1864","202336_s_at","NM_000919","Homo sapiens","PAM","5066","peptidylglycine alpha-amidating monooxygenase"
